Document title	Authors	Journal	Publisher	DOI	name	External URL	Publication date	license	set	checked license
Synthesis and applications of nanoporous perovskite metal oxides	Xiubing Huang; Guixia Zhao; Ge Wang; John T. S. Irvine	Chemical Science	Royal Society of Chemistry	10.1039/c7sc03920d	PMC5944822	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC5944822	02.04.2018	CC BY	dev	
Novel Composite Electrolytes of Zr0.92Y0.08O2-´è?(8YSZ)-Low Melting Point Glass Powder for Intermediate Temperature Solid Oxide Fuel Cells	Hongtao Wang; Ruifeng Du; Ruijuan Shi; Junlong Liu	Materials	MDPI	10.3390/ma11071221	PMC6073263	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6073263	16.07.2018	CC BY	train	
In Situ Impedance Analysis of Oxygen Exchange on Growing La0.6Sr0.4CoO3?´è? Thin Films	Ghislain M. Rupp; Markus Kubicek; Alexander K. Opitz; J´è?rgen Fleig	ACS Applied Energy Materials	American Chemical Society	10.1021/acsaem.8b00586	PMC6158676	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6158676	20.08.2018	CC BY	train	
Semiconductor-Ionic Nanocomposite La0.1Sr0.9MnO3?´è?-Ce0.8Sm0.2O2?´è? Functional Layer for High Performance Low Temperature SOFC	Zhaoqing Wang; Xunying Wang; Zhaoyun Xu; Hui Deng; Wenjing Dong; Baoyuan Wang; Chu Feng; Xueqi Liu; Hao Wang	Materials	MDPI	10.3390/ma11091549	PMC6164086	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6164086	28.08.2018	CC BY	test	
3D Self?Architectured Steam Electrode Enabled Efficient and Durable Hydrogen Production in a Proton?Conducting Solid Oxide Electrolysis Cell at Temperatures Lower Than 600 ´è?C	Wei Wu; Hanping Ding; Yunya Zhang; Yong Ding; Prashant Katiyar; Prasun K. Majumdar; Ting He; Dong Ding	Advanced Science	John Wiley and Sons Inc.	10.1002/advs.201800360	PMC6247067	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6247067	31.08.2018	CC BY	test	
Self-Transforming Configuration Based on Atmospheric-Adaptive Materials for Solid Oxide Cells	Seona Kim; Seungtae Lee; Junyoung Kim; Jeeyoung Shin; Guntae Kim	Scientific Reports	Nature Publishing Group UK	10.1038/s41598-018-35659-y	PMC6249295	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6249295	21.11.2018	CC BY	test	
A Reversible Protonic Ceramic Cell with Symmetrically Designed Pr2NiO4+´è?-Based Electrodes: Fabrication and Electrochemical Features	Artem Tarutin; Julia Lyagaeva; Andrey Farlenkov; Sergey Plaksin; Gennady Vdovin; Anatoly Demin; Dmitry Medvedev	Materials	MDPI	10.3390/ma12010118	PMC6337513	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6337513	31.12.2018	CC BY	test	
Cation-swapped homogeneous nanoparticles in perovskite oxides for high power density	Sangwook Joo; Ohhun Kwon; Kyeounghak Kim; Seona Kim; Hyunmin Kim; Jeeyoung Shin; Hu Young Jeong; Sivaprakash Sengodan; Jeong Woo Han; Guntae Kim	Nature Communications	Nature Publishing Group UK	10.1038/s41467-019-08624-0	PMC6370853	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6370853	11.02.2019	CC BY	test	
Yb-Doped BaCeO3 and Its Composite Electrolyte for Intermediate-Temperature Solid Oxide Fuel Cells	Xueyue Jiang; Fufang Wu; Hongtao Wang	Materials	MDPI	10.3390/ma12050739	PMC6427619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6427619	04.03.2019	CC BY	test	
Design of next-generation ceramic fuel cells and real-time characterization with synchrotron X-ray diffraction computed tomography	Tao Li; Thomas M. M. Heenan; Mohamad F. Rabuni; Bo Wang; Nicholas M. Farandos; Geoff H. Kelsall; Dorota Matras; Chun Tan; Xuekun Lu; Simon D. M. Jacques; Dan J. L. Brett; Paul R. Shearing; Marco Di Michiel; Andrew M. Beale; Antonis Vamvakeros; Kang Li	Nature Communications	Nature Publishing Group UK	10.1038/s41467-019-09427-z	PMC6445146	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6445146	02.04.2019	CC BY	test	
Shaping triple-conducting semiconductor BaCo0.4Fe0.4Zr0.1Y0.1O3-´è? into an electrolyte for low-temperature solid oxide fuel cells	Chen Xia; Youquan Mi; Baoyuan Wang; Bin Lin; Gang Chen; Bin Zhu	Nature Communications	Nature Publishing Group UK	10.1038/s41467-019-09532-z	PMC6461657	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461657	12.04.2019	CC BY	test	
The sintering temperature effect on electrochemical properties of Ce0.8Sm0.05Ca0.15O2-´è? (SCDC)-La0.6Sr0.4Co0.2Fe0.8O3-´è? (LSCF) heterostructure pellet	Xiyu Nie; Ying Chen; Naveed Mushtaq; Sajid Rauf; Baoyuan Wang; Wenjing Dong; Xunying Wang; Hao Wang; Bin Zhu	Nanoscale Research Letters	Springer US	10.1186/s11671-019-2979-x	PMC6517467	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6517467	14.05.2019	CC BY	test	1
Inkjet Printing Functionalization of SOFC LSCF Cathodes	Eleonora Venezia; Massimo Viviani; Sabrina Presto; Vasant Kumar; Rumen I. Tomov	Nanomaterials	MDPI	10.3390/nano9040654	PMC6523084	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6523084	24.04.2019	CC BY	test	1
Design, Synthesis, Structure and Properties of Ba-Doped Derivatives of SrCo0.95Ru0.05O3?´è? Perovskite as Cathode Materials for SOFCs	Sabina Sydyknazar; Vanessa Cascos; Loreto Troncoso; Ana Laura Larralde; Mar´è?a Teresa Fern´è?ndez-D´è?az; Jos´è? Antonio Alonso	Materials	MDPI	10.3390/ma12121957	PMC6632008	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632008	18.06.2019	CC BY	test	
